行政区,坐标,数量
徐汇区,"121.400519,31.175189",860
徐汇区,"121.400519,31.166189",859
徐汇区,"121.409519,31.175189",863
徐汇区,"121.409519,31.166189",872
徐汇区,"121.409519,31.157189",875
徐汇区,"121.409519,31.148189",575
徐汇区,"121.418519,31.184189",871
徐汇区,"121.418519,31.175189",863
徐汇区,"121.418519,31.166189",872
徐汇区,"121.418519,31.157189",841
徐汇区,"121.418519,31.148189",576
徐汇区,"121.418519,31.139189",819
徐汇区,"121.427519,31.193189",872
徐汇区,"121.427519,31.184189",851
徐汇区,"121.427519,31.175189",878
徐汇区,"121.427519,31.166189",861
徐汇区,"121.427519,31.157189",873
徐汇区,"121.427519,31.148189",827
徐汇区,"121.427519,31.139189",873
徐汇区,"121.427519,31.130189",812
徐汇区,"121.436519,31.211189",865
徐汇区,"121.436519,31.202189",869
徐汇区,"121.436519,31.193189",838
徐汇区,"121.436519,31.184189",876
徐汇区,"121.436519,31.175189",871
徐汇区,"121.436519,31.166189",879
徐汇区,"121.436519,31.157189",857
徐汇区,"121.436519,31.148189",793
徐汇区,"121.436519,31.139189",724
徐汇区,"121.436519,31.130189",466
徐汇区,"121.445519,31.211189",888
徐汇区,"121.445519,31.202189",875
徐汇区,"121.445519,31.193189",885
徐汇区,"121.445519,31.184189",855
徐汇区,"121.445519,31.175189",872
徐汇区,"121.445519,31.166189",869
徐汇区,"121.445519,31.157189",542
徐汇区,"121.445519,31.148189",423
徐汇区,"121.445519,31.139189",585
徐汇区,"121.445519,31.130189",524
徐汇区,"121.445519,31.121189",270
徐汇区,"121.454519,31.211189",868
徐汇区,"121.454519,31.202189",868
徐汇区,"121.454519,31.193189",883
徐汇区,"121.454519,31.184189",883
徐汇区,"121.454519,31.175189",727
徐汇区,"121.454519,31.166189",457
徐汇区,"121.454519,31.157189",430
徐汇区,"121.454519,31.148189",298
徐汇区,"121.454519,31.139189",309
徐汇区,"121.454519,31.130189",364
徐汇区,"121.454519,31.121189",339
徐汇区,"121.454519,31.112189",198
徐汇区,"121.454519,31.103189",170
徐汇区,"121.463519,31.202189",860
徐汇区,"121.463519,31.193189",873
徐汇区,"121.463519,31.184189",598
徐汇区,"121.463519,31.175189",120
徐汇区,"121.463519,31.166189",135
徐汇区,"121.463519,31.157189",100
徐汇区,"121.463519,31.130189",55
徐汇区,"121.463519,31.121189",106
徐汇区,"121.463519,31.112189",99
